"shop_id","shop_player","shop_xp","shop_gold","shop_market_bought","shop_market_sold","shop_goldsold","shop_relics","shop_equipped","shop_skills","shop_latestdungeon","shop_notes","shop_groupid"
"74","Leoric of the Book",NULL,"25",NULL,NULL,"0",NULL,"yes",NULL,"Skipped Campaign Intro",NULL,"25"
"5","Leoric of the Book","1","25",NULL,NULL,"0",NULL,"yes",NULL,"Skipped Campaign Intro",NULL,"14"
"6","Laughin Buldar","1","25",NULL,NULL,"0",NULL,"yes",NULL,"Skipped Campaign Intro",NULL,"14"
"7","Tobin Farslayer","1","25",NULL,NULL,"0",NULL,"yes",NULL,"Skipped Campaign Intro",NULL,"14"
"8","Elder Mok","1","25",NULL,NULL,"0",NULL,"yes",NULL,"Skipped Campaign Intro",NULL,"14"
"16","Elder Mok",NULL,"0",NULL,NULL,"0",NULL,"yes","Prayer of Healing","Skipped Campaign Intro",NULL,"14"
"15","Elder Mok","-1","0",NULL,NULL,"0",NULL,"yes","Armor of Faith","Skipped Campaign Intro",NULL,"14"
"17","Elder Mok","1","75",NULL,NULL,"0",NULL,"yes",NULL,"Castle Daerion",NULL,"14"
"18","Tobin Farslayer","-1","0",NULL,NULL,"0",NULL,"yes","Accurate","Skipped Campaign Intro",NULL,"14"
"19","Tobin Farslayer",NULL,"0",NULL,NULL,"0",NULL,"yes","Nimble","Skipped Campaign Intro",NULL,"14"
"21","Tobin Farslayer","1","100",NULL,NULL,"0",NULL,"yes",NULL,"Castle Daerion",NULL,"14"
"23","Laughin Buldar",NULL,"0",NULL,NULL,"0",NULL,"yes","Rage","Skipped Campaign Intro",NULL,"14"
"24","Laughin Buldar","-1","0",NULL,NULL,"0",NULL,"yes","Brute","Skipped Campaign Intro",NULL,"14"
"25","Laughin Buldar","1","0",NULL,NULL,"0",NULL,"yes",NULL,"Castle Daerion",NULL,"14"
"26","Leoric of the Book","1","0",NULL,NULL,"0",NULL,"yes",NULL,"Castle Daerion",NULL,"14"
"31","Overlord",NULL,"0",NULL,NULL,"0",NULL,"yes",NULL,"Skipped Campaign Intro",NULL,"14"
"236","Tobin Farslayer",NULL,"0","Shield of the Dark God (Relic)",NULL,"0","yes","yes",NULL,"Death on the Wing",NULL,"29"
"71","Laughin Buldar","1","0",NULL,NULL,"0",NULL,"yes",NULL,"The Cardinal's Plight",NULL,"14"
"73","Overlord","1","0","Staff of Shadows (Relic)",NULL,"0","yes","yes",NULL,"The Cardinal's Plight",NULL,"14"
"30","Overlord","-1","0",NULL,NULL,"0",NULL,"yes","Blood Rage","Skipped Campaign Intro",NULL,"14"
"32","Overlord","1","0",NULL,NULL,"0",NULL,"yes",NULL,"Skipped Campaign Intro",NULL,"14"
"33","Overlord",NULL,"0",NULL,NULL,"0",NULL,"yes",NULL,"Castle Daerion",NULL,"14"
"34","Overlord","2","0",NULL,NULL,"0",NULL,"yes",NULL,"Castle Daerion",NULL,"14"
"103","Tobin Farslayer","-1","0",NULL,NULL,"0",NULL,"yes","Appraisal",NULL,NULL,"29"
"104","Trenloe the Strong","-1","0",NULL,NULL,"0",NULL,"yes","Advance",NULL,NULL,"29"
"105","Aurim","-1","0",NULL,NULL,"0",NULL,"yes","Healing Rain",NULL,NULL,"29"
"106","Truthseer Kel","-1","0",NULL,NULL,"0",NULL,"yes","Fury of Undeath",NULL,NULL,"29"
"56","Laughin Buldar",NULL,"0","Chipped Greataxe (Berserker)",NULL,"0",NULL,"yes",NULL,"Skipped Campaign Intro",NULL,"14"
"57","Tobin Farslayer",NULL,"0","Yew Shortbow (Wildlander)",NULL,"0",NULL,"yes",NULL,"Skipped Campaign Intro",NULL,"14"
"109","Trenloe the Strong","1","0",NULL,NULL,"0",NULL,"yes",NULL,"The Masquerade Ball",NULL,"29"
"107","Overlord","-1","0",NULL,NULL,"0",NULL,"yes","Word of Pain",NULL,NULL,"29"
"108","Truthseer Kel",NULL,"-75","Heavy Cloak",NULL,"0",NULL,"yes",NULL,NULL,NULL,"29"
"58","Elder Mok",NULL,"0","Iron Mace (Disciple)",NULL,"0",NULL,"yes",NULL,"Skipped Campaign Intro",NULL,"14"
"59","Elder Mok",NULL,"0","Wooden Shield (Disciple)",NULL,"0",NULL,"yes",NULL,"Skipped Campaign Intro",NULL,"14"
"60","Leoric of the Book",NULL,"0","Arcane Bolt (Runemaster)",NULL,"0",NULL,"yes",NULL,"Skipped Campaign Intro",NULL,"14"
"61","Leoric of the Book",NULL,"0",NULL,NULL,"0",NULL,"yes","Runic Knowledge (Runemaster)","Skipped Campaign Intro",NULL,"14"
"62","Leoric of the Book","-1","0",NULL,NULL,"0",NULL,"yes","Exploding Rune","Skipped Campaign Intro",NULL,"14"
"63","Leoric of the Book",NULL,"-75","Leather Armor",NULL,"0",NULL,"yes",NULL,"Castle Daerion",NULL,"14"
"64","Tobin Farslayer",NULL,"-75","Scorpion Helm",NULL,"0",NULL,"yes",NULL,"Castle Daerion",NULL,"14"
"65","Tobin Farslayer","-1","0",NULL,NULL,"0",NULL,"yes","Eagle Eyes","Castle Daerion",NULL,"14"
"66","Laughin Buldar","-1","0",NULL,NULL,"0",NULL,"yes","Counter Attack","Castle Daerion",NULL,"14"
"67","Laughin Buldar",NULL,"-50","Iron Shield",NULL,"0",NULL,"yes",NULL,"Castle Daerion",NULL,"14"
"68","Elder Mok",NULL,"-100","Lucky Charm",NULL,"0",NULL,"yes",NULL,"Castle Daerion",NULL,"14"
"69","Leoric of the Book","1","175","Magic Staff","Magic Staff","0",NULL,"no",NULL,"The Cardinal's Plight",NULL,"14"
"70","Tobin Farslayer","1","0",NULL,NULL,"0",NULL,"yes",NULL,"The Cardinal's Plight",NULL,"14"
"72","Elder Mok","1","50",NULL,NULL,"0",NULL,"yes",NULL,"The Cardinal's Plight",NULL,"14"
"75","Leoric of the Book","1","0",NULL,NULL,"0",NULL,"yes",NULL,"Skipped Campaign Intro",NULL,"25"
"76","Leoric of the Book","0","0",NULL,NULL,"0",NULL,"yes","Runic Knowledge (Runemaster)","Skipped Campaign Intro",NULL,"25"
"77","Leoric of the Book","-1","0",NULL,NULL,"0",NULL,"yes","Exploding Rune","Skipped Campaign Intro",NULL,"25"
"78","Augur Grisom","1","25",NULL,NULL,"0",NULL,"yes",NULL,"Skipped Campaign Intro",NULL,"25"
"79","Augur Grisom","0","0",NULL,NULL,"0",NULL,"yes","Stoneskin","Skipped Campaign Intro",NULL,"25"
"80","Augur Grisom","-1","0",NULL,NULL,"0",NULL,"yes","Drain Spirit","Skipped Campaign Intro",NULL,"25"
"81","Tobin Farslayer","1","25",NULL,NULL,"0",NULL,"yes",NULL,"Skipped Campaign Intro",NULL,"25"
"82","Tobin Farslayer","0","0",NULL,NULL,"0",NULL,"yes","Greedy","Skipped Campaign Intro",NULL,"25"
"83","Tobin Farslayer","-1","0",NULL,NULL,"0",NULL,"yes","Appraisal","Skipped Campaign Intro",NULL,"25"
"84","Alys Raine","1","25",NULL,NULL,"0",NULL,"yes",NULL,"Skipped Campaign Intro",NULL,"25"
"85","Alys Raine","0","0",NULL,NULL,"0",NULL,"yes","Rage","Skipped Campaign Intro",NULL,"25"
"86","Alys Raine","-1","0",NULL,NULL,"0",NULL,"yes","Brute","Skipped Campaign Intro",NULL,"25"
"87","Augur Grisom","1","75",NULL,NULL,"0",NULL,"yes",NULL,"A Fat Goblin",NULL,"25"
"88","Leoric of the Book","1","25",NULL,NULL,"0",NULL,"yes",NULL,"A Fat Goblin",NULL,"25"
"89","Tobin Farslayer","1","100",NULL,NULL,"0",NULL,"yes",NULL,"A Fat Goblin",NULL,"25"
"90","Alys Raine","1","0",NULL,NULL,"0",NULL,"yes",NULL,"A Fat Goblin",NULL,"25"
"91","Alys Raine",NULL,"-75","Leather Armor",NULL,"0",NULL,"yes",NULL,"Skipped Campaign Intro",NULL,"25"
"92","Leoric of the Book",NULL,"0","Arcane Bolt (Runemaster)",NULL,"0",NULL,"yes",NULL,"Skipped Campaign Intro",NULL,"25"
"93","Alys Raine",NULL,"0","Chipped Greataxe (Berserker)",NULL,"0",NULL,"yes",NULL,"Skipped Campaign Intro",NULL,"25"
"94","Tobin Farslayer",NULL,"0","Lucky Charm (Thief)",NULL,"0",NULL,"yes",NULL,"Skipped Campaign Intro",NULL,"25"
"95","Tobin Farslayer",NULL,"0","Throwing Knives (Thief)",NULL,"0",NULL,"yes",NULL,"Skipped Campaign Intro",NULL,"25"
"96","Augur Grisom",NULL,"0","Oakstaff (Spiritspeaker)",NULL,"0",NULL,"yes",NULL,"Skipped Campaign Intro",NULL,"25"
"97","Overlord","-1","0",NULL,NULL,"0",NULL,"yes","Blood Rage","Castle Daerion",NULL,"14"
"98","Overlord","-1","0",NULL,NULL,"0",NULL,"yes","Web Trap","Skipped Campaign Intro",NULL,"25"
"99","Overlord","1","0",NULL,NULL,"0",NULL,"yes",NULL,"Skipped Campaign Intro",NULL,"25"
"110","Truthseer Kel","1","0",NULL,NULL,"0",NULL,"yes",NULL,"The Masquerade Ball",NULL,"29"
"111","Aurim","1","50",NULL,NULL,"0",NULL,"yes",NULL,"The Masquerade Ball",NULL,"29"
"112","Tobin Farslayer","1","50",NULL,NULL,"0",NULL,"yes",NULL,"The Masquerade Ball",NULL,"29"
"113","Overlord","1","0","Bones of Woe (Relic)",NULL,"0","yes","yes",NULL,"The Masquerade Ball",NULL,"29"
"114","Truthseer Kel","1","25",NULL,NULL,"0",NULL,"yes",NULL,"**Skipped Campaign Intro**",NULL,"29"
"115","Truthseer Kel",NULL,"0","Reaper's Scythe (Necromancer)",NULL,"0",NULL,"yes",NULL,"**Skipped Campaign Intro**",NULL,"29"
"116","Truthseer Kel","0","0",NULL,NULL,"0",NULL,"yes","Raise Dead (Necromancer)",NULL,NULL,"29"
"117","Truthseer Kel","0","0",NULL,NULL,"0",NULL,"yes","Reanimate (Necromancer)",NULL,NULL,"29"
"118","Trenloe the Strong",NULL,"0","Wooden Shield (Knight)",NULL,"0",NULL,"yes",NULL,NULL,NULL,"29"
"119","Trenloe the Strong",NULL,"0","Iron Longsword (Knight)","Iron Longsword (Knight)","25",NULL,"no",NULL,NULL,NULL,"29"
"120","Trenloe the Strong","0","0",NULL,NULL,"0",NULL,"yes","Oath of Honor",NULL,NULL,"29"
"132","Leoric of the Book","-2","0",NULL,NULL,"0",NULL,"yes","Iron Will",NULL,NULL,"14"
"123","Tobin Farslayer",NULL,"0","Lucky Charm (Thief)",NULL,"0",NULL,"yes",NULL,NULL,NULL,"29"
"124","Tobin Farslayer","0","0",NULL,NULL,"0",NULL,"yes","Greedy",NULL,NULL,"29"
"125","Aurim",NULL,"0","Oakstaff (Spiritspeaker)",NULL,"0",NULL,"yes",NULL,NULL,NULL,"29"
"127","Aurim","0","0",NULL,NULL,"0",NULL,"yes","Stoneskin",NULL,NULL,"29"
"128","Trenloe the Strong","1","25",NULL,NULL,"0",NULL,"yes",NULL,"**Skipped Campaign Intro**",NULL,"29"
"129","Overlord","1","0",NULL,NULL,"0",NULL,"yes",NULL,"**Skipped Campaign Intro**",NULL,"29"
"130","Tobin Farslayer","1","25",NULL,NULL,"0",NULL,"yes",NULL,"**Skipped Campaign Intro**",NULL,"29"
"131","Aurim","1","25",NULL,NULL,"0",NULL,"yes",NULL,"**Skipped Campaign Intro**",NULL,"29"
"133","Elder Mok","-2","0",NULL,NULL,"0",NULL,"yes","Divine Fury",NULL,NULL,"14"
"134","Elder Mok",NULL,"-75","Heavy Cloak",NULL,"0",NULL,"yes",NULL,"The Cardinal's Plight",NULL,"14"
"135","Tobin Farslayer",NULL,"-75","Leather Armor",NULL,"0",NULL,"yes",NULL,"The Cardinal's Plight",NULL,"14"
"136","Overlord","-1","0",NULL,NULL,"0",NULL,"yes","Explosive Runes","The Cardinal's Plight",NULL,"14"
"137","Overlord","-1","0",NULL,NULL,"0",NULL,"yes","Web Trap","The Cardinal's Plight",NULL,"14"
"138","Laughin Buldar","1","50",NULL,NULL,"0",NULL,"yes",NULL,"The Masquerade Ball",NULL,"14"
"139","Leoric of the Book","1","50",NULL,NULL,"0",NULL,"yes",NULL,"The Masquerade Ball",NULL,"14"
"140","Leoric of the Book",NULL,"0","Fortuna's Dice (Relic)",NULL,"0","yes","yes",NULL,"The Masquerade Ball",NULL,"14"
"141","Tobin Farslayer","1","0",NULL,NULL,"0",NULL,"yes",NULL,"The Masquerade Ball",NULL,"14"
"142","Elder Mok","1","100",NULL,NULL,"0",NULL,"yes",NULL,"The Masquerade Ball",NULL,"14"
"143","Overlord","1","0",NULL,NULL,"0",NULL,"yes",NULL,"The Masquerade Ball",NULL,"14"
"144","Tobin Farslayer",NULL,"0","Sling",NULL,"0",NULL,"yes",NULL,"The Masquerade Ball",NULL,"29"
"237","Aurim","1","75",NULL,NULL,"0","yes","yes",NULL,"Death on the Wing",NULL,"29"
"271","Shiver",NULL,"-175","Bearded Axe",NULL,"0",NULL,"yes",NULL,"First Blood",NULL,"38"
"270","Shiver",NULL,"0","Rune Plate",NULL,"0",NULL,"yes",NULL,"First Blood",NULL,"38"
"269","Shiver","-1","0",NULL,NULL,"0",NULL,"yes","Exploding Rune","First Blood",NULL,"38"
"235","Tobin Farslayer","1","50",NULL,NULL,"0","yes","yes",NULL,"Death on the Wing",NULL,"29"
"234","Overlord","1","0",NULL,NULL,"0",NULL,"yes",NULL,"Death on the Wing",NULL,"29"
"233","Trenloe the Strong","1","50",NULL,NULL,"0","yes","yes",NULL,"Death on the Wing",NULL,"29"
"268","Shiver","1","125",NULL,NULL,"0","yes","yes",NULL,"First Blood",NULL,"38"
"267","Orkell the Swift",NULL,"-125","Belt of Strength",NULL,"0",NULL,"yes",NULL,"First Blood",NULL,"39"
"266","Ashrian","1","0",NULL,NULL,"0","yes","yes",NULL,"First Blood",NULL,"39"
"228","Aurim","-1","0",NULL,NULL,"0",NULL,"yes","Drain Spirit","The Masquerade Ball",NULL,"29"
"229","Trenloe the Strong",NULL,"-100","Steel Broadsword",NULL,"0",NULL,"yes",NULL,"The Masquerade Ball",NULL,"29"
"230","Aurim",NULL,"-75","Leather Armor",NULL,"0",NULL,"yes",NULL,"The Masquerade Ball",NULL,"29"
"231","Tobin Farslayer",NULL,"0","Throwing Knives (Thief)","Throwing Knives (Thief)","25",NULL,"no",NULL,"**Skipped Campaign Intro**",NULL,"29"
"232","Truthseer Kel","1","0",NULL,NULL,"0","yes","yes",NULL,"Death on the Wing",NULL,"29"
"265","Tobin Farslayer","1","25",NULL,NULL,"0","yes","yes",NULL,"First Blood",NULL,"39"
"264","Overlord","1","0",NULL,NULL,"0",NULL,"yes",NULL,"First Blood",NULL,"39"
"263","Orkell the Swift","1","50",NULL,NULL,"0","yes","yes",NULL,"First Blood",NULL,"39"
"262","Dezra the Vile","1","25",NULL,NULL,"0","yes","yes",NULL,"First Blood",NULL,"39"
"261","Ashrian","0","0",NULL,NULL,"0",NULL,"yes","Stoneskin","**Starting Gear**",NULL,"39"
"260","Ashrian",NULL,"0","Oakstaff (Spiritspeaker)",NULL,"0",NULL,"yes",NULL,"**Starting Gear**",NULL,"39"
"259","Tobin Farslayer","0","0",NULL,NULL,"0",NULL,"yes","Black Widow's Web","**Starting Gear**",NULL,"39"
"258","Tobin Farslayer","0","0",NULL,NULL,"0",NULL,"yes","Set Trap","**Starting Gear**",NULL,"39"
"257","Tobin Farslayer",NULL,"0","Hunting Knife (Stalker)",NULL,"0",NULL,"yes",NULL,"**Starting Gear**",NULL,"39"
"256","Orkell the Swift","0","0",NULL,NULL,"0",NULL,"yes","Rage","**Starting Gear**",NULL,"39"
"242","Laughin Buldar","-2","0",NULL,NULL,"0",NULL,"yes","Whirlwind","The Masquerade Ball",NULL,"14"
"243","Laughin Buldar",NULL,"-100","Iron Battleaxe",NULL,"0",NULL,"yes",NULL,"The Masquerade Ball",NULL,"14"
"244","Tobin Farslayer","-2","0",NULL,NULL,"0",NULL,"yes","Bow Mastery","The Masquerade Ball",NULL,"14"
"255","Orkell the Swift",NULL,"0","Chipped Greataxe (Berserker)",NULL,"0",NULL,"yes",NULL,"**Starting Gear**",NULL,"39"
"254","Dezra the Vile","0","0",NULL,NULL,"0",NULL,"yes","Reanimate (Necromancer)","**Starting Gear**",NULL,"39"
"253","Dezra the Vile","0","0",NULL,NULL,"0",NULL,"yes","Raise Dead (Necromancer)","**Starting Gear**",NULL,"39"
"252","Dezra the Vile",NULL,"0","Reaper's Scythe (Necromancer)",NULL,"0",NULL,"yes",NULL,"**Starting Gear**",NULL,"39"
