"skill_id","skill_name","skill_type","skill_class","skill_cost","skill_card","skill_expansion"
"1","Accurate","Scout","Wildlander","-1","accurate.jpg","vanilla"
"2","Nimble","Scout","Wildlander","0","nimble.jpg","vanilla"
"10","Brute","Warrior","Berserker","-1","brute.jpg","vanilla"
"11","Raise Dead (Necromancer)","Mage","Necromancer","0","raisedeadnecromancer.jpg","vanilla"
"12","Reanimate (Necromancer)","Mage","Necromancer","0","reanimatenecromancer.jpg","vanilla"
"13","Runic Knowledge (Runemaster)","Mage","Runemaster","0","runicknowledgerunemaster.jpg","vanilla"
"14","Prayer of Healing","Healer","Disciple","0","prayerofhealing.jpg","vanilla"
"15","Armor of Faith","Healer","Disciple","-1","armoffaith.jpg","vanilla"
"16","Blessed Strike","Healer","Disciple","-1","blessedstrike.jpg","vanilla"
"17","Cleansing Touch","Healer","Disciple","-1","cleansingtouch.jpg","vanilla"
"18","Divine Fury","Healer","Disciple","-2","divinefury.jpg","vanilla"
"19","Prayer of Peace","Healer","Disciple","-2","prayerofpeace.jpg","vanilla"
"20","Time of Need","Healer","Disciple","-2","timeofneed.jpg","vanilla"
"21","Holy Power","Healer","Disciple","-3","holypower.jpg","vanilla"
"22","Radiant Light","Healer","Disciple","-3","radiantlight.jpg","vanilla"
"23","Nimble","Scout","Wildlander","0","nimble.jpg","vanilla"
"25","Danger Sense","Scout","Wildlander","-1","dangersense.jpg","vanilla"
"26","Eagle Eyes","Scout","Wildlander","-1","eagleeyes.jpg","vanilla"
"27","Bow Mastery","Scout","Wildlander","-2","bowmastery.jpg","vanilla"
"28","First Strike","Scout","Wildlander","-2","firststrike.jpg","vanilla"
"29","Fleet of Foot","Scout","Wildlander","-2","fleetoffoot.jpg","vanilla"
"30","Black Arrow","Scout","Wildlander","-3","blackarrow.jpg","vanilla"
"31","Running Shot","Scout","Wildlander","-3","runningshot.jpg","vanilla"
"32","Counter Attack","Warrior","Berserker","-1","counterattack.jpg","vanilla"
"33","Rage","Warrior","Berserker","0","rage.jpg","vanilla"
"35","Cripple","Warrior","Berserker","-1","cripple.jpg","vanilla"
"36","Charge","Warrior","Berserker","-2","charge.jpg","vanilla"
"37","Weapon Mastery","Warrior","Berserker","-2","weaponmastery.jpg","vanilla"
"38","Whirlwind","Warrior","Berserker","-2","whirlwind.jpg","vanilla"
"39","Death Rage","Warrior","Berserker","-3","deathrage.jpg","vanilla"
"40","Execute","Warrior","Berserker","-3","excute.jpg","vanilla"
"43","Corpse Blast","Mage","Necromancer","-1","corpseblast.jpg","vanilla"
"44","Fury of Undeath","Mage","Necromancer","-1","furyofundeath.jpg","vanilla"
"45","Deathly Haste","Mage","Necromancer","-1","deathlyhaste.jpg","vanilla"
"46","Dark Pact","Mage","Necromancer","-2","darkpact.jpg","vanilla"
"47","Vampiric Blood","Mage","Necromancer","-2","vampiricblood.jpg","vanilla"
"48","Undead Might","Mage","Necromancer","-2","undeadmight.jpg","vanilla"
"49","Army of Death","Mage","Necromancer","-3","armyofdeath.jpg","vanilla"
"50","Dying Command","Mage","Necromancer","-3","dyingcommand.jpg","vanilla"
"51","Soothing Insight","Healer","Prophet","0","soothinginsight.jpg","vanilla"
"52","Battle Vision","Healer","Prophet","-1","battlevision.jpg","vanilla"
"53","Forewarning","Healer","Prophet","-1","forewarning.jpg","vanilla"
"54","Grim Fate","Healer","Prophet","-1","grimfate.jpg","vanilla"
"55","All-Seeing","Healer","Prophet","-2","allseeing.jpg","vanilla"
"56","Lifeline","Healer","Prophet","-2","lifeline.jpg","vanilla"
"57","Victory Foretold","Healer","Prophet","-2","victoryforetold.jpg","vanilla"
"58","Focused Insights","Healer","Prophet","-3","focusedinsights.jpg","vanilla"
"59","Omniscience","Healer","Prophet","-3","omniscience.jpg","vanilla"
"60","Brew Elixir","Healer","Apothecary","0","brewelixir.jpg","Labyrinth of Ruin"
"61","Concoction","Healer","Apothecary","-1","concoction.jpg","Labyrinth of Ruin"
"62","Herbal Lore","Healer","Apothecary","-1","herballore.jpg","Labyrinth of Ruin"
"63","Inky Substance","Healer","Apothecary","-1","inkysubstance.jpg","Labyrinth of Ruin"
"64","Bottled Courage","Healer","Apothecary","-2","bottledcourage.jpg","Labyrinth of Ruin"
"65","Protective Tonic","Healer","Apothecary","-2","protectivetonic.jpg","Labyrinth of Ruin"
"66","Secret Formula","Healer","Apothecary","-2","secretformula.jpg","Labyrinth of Ruin"
"67","Hidden Stash","Healer","Apothecary","-3","hiddenstash.jpg","Labyrinth of Ruin"
"68","Potent Remedies","Healer","Apothecary","-3","potentremedies.jpg","Labyrinth of Ruin"
"69","Stoneskin","Healer","Spiritspeaker","0","stoneskin.jpg","vanilla"
"70","Drain Spirit","Healer","Spiritspeaker","-1","drainspirit.jpg","vanilla"
"71","Healing Rain","Healer","Spiritspeaker","-1","healingrain.jpg","vanilla"
"72","Shared Pain","Healer","Spiritspeaker","-1","sharedpain.jpg","vanilla"
"73","Cloud of Mist","Healer","Spiritspeaker","-2","cloudofmist.jpg","vanilla"
"74","Nature's Bounty","Healer","Spiritspeaker","-2","naturesbounty.jpg","vanilla"
"75","Tempest","Healer","Spiritspeaker","-2","tempest.jpg","vanilla"
"76","Ancestor Spirits","Healer","Spiritspeaker","-3","ancestorspirits.jpg","vanilla"
"77","Vigor","Healer","Spiritspeaker","-3","vigor.jpg","vanilla"
"78","Summoned Stone","Mage","Geomancer","0","summonedstone.jpg","Lair of the Wyrm"
"79","Terracall","Mage","Geomancer","0","terracall.jpg","Lair of the Wyrm"
"80","Earthen Anguish","Mage","Geomancer","-1","earthenanguish.jpg","Lair of the Wyrm"
"81","Quaking Word","Mage","Geomancer","-1","quakingword.jpg","Lair of the Wyrm"
"82","Stone Tonuge","Mage","Geomancer","-1","stonetongue.jpg","Lair of the Wyrm"
"83","Ley Line","Mage","Geomancer","-2","leyline.jpg","Lair of the Wyrm"
"84","Molten Fury","Mage","Geomancer","-2","moltenfury.jpg","Lair of the Wyrm"
"85","Ways of Stone","Mage","Geomancer","-2","waysofstone.jpg","Lair of the Wyrm"
"86","Gravity Spike","Mage","Geomancer","-3","gavityspike.jpg","Lair of the Wyrm"
"87","Cataclysm","Mage","Geomancer","-3","cataclysm.jpg","Lair of the Wyrm"
"88","Enfeebling Hex","Mage","Hexer","0","enfeeblinghex.jpg","Labyrinth of Ruin"
"89","Affliction","Mage","Hexer","-1","affliction.jpg","Labyrinth of Ruin"
"90","Plague Spasm","Mage","Hexer","-1","plaguespasm.jpg","Labyrinth of Ruin"
"91","Viral Hex","Mage","Hexer","-1","viralhex.jpg","Labyrinth of Ruin"
"92","Crippling Curse","Mage","Hexer","-2","cripplingcurse.jpg","Labyrinth of Ruin"
"93","Fel Command","Mage","Hexer","-2","felcommand.jpg","Labyrinth of Ruin"
"94","Internal Rot","Mage","Hexer","-2","internalrot.jpg","Labyrinth of Ruin"
"95","Accursed Arms","Mage","Hexer","-3","accursedarms.jpg","Labyrinth of Ruin"
"96","Plague Cloud","Mage","Hexer","-3","plaguecloud.jpg","Labyrinth of Ruin"
"98","Exploding Rune","Mage","Runemaster","-1","explodingrune.jpg","vanilla"
"99","Ghost Armor","Mage","Runemaster","-1","ghostarmor.jpg","vanilla"
"100","Inscribe Rune","Mage","Runemaster","-1","inscriberune.jpg","vanilla"
"101","Iron Will","Mage","Runemaster","-2","ironwill.jpg","vanilla"
"102","Rune Mastery","Mage","Runemaster","-2","runemastery.jpg","vanilla"
"103","Runic Sorcery","Mage","Runemaster","-2","runesorcery.jpg","vanilla"
"104","Break the Rune","Mage","Runemaster","-3","breaktherune.jpg","vanilla"
"105","Quick Casting","Mage","Runemaster","-3","quickcasting.jpg","vanilla"
"106","Exploit","Scout","Stalker","-1","exploit.jpg","The Trollfens"
"107","Hunter's Mark","Scout","Stalker","-1","huntersmark.jpg","The Trollfens"
"108","Makeshift Trap","Scout","Stalker","-1","makeshifttrap.jpg","The Trollfens"
"109","Easy Prey","Scout","Stalker","-2","easyprey.jpg","The Trollfens"
"110","Lay of the Land","Scout","Stalker","-2","layoftheland.jpg","The Trollfens"
"111","Poison Barbs","Scout","Stalker","-2","poisonbarbs.jpg","The Trollfens"
"112","Ambush","Scout","Stalker","-3","ambush.jpg","The Trollfens"
"113","Upper Hand","Scout","Stalker","-3","upperhand.jpg","The Trollfens"
"114","Black Widow's Web","Scout","Stalker","0","blackwidowsweb.jpg","The Trollfens"
"115","Set Trap","Scout","Stalker","0","settrap.jpg","The Trollfens"
"116","Greedy","Scout","Thief","0","greedy.jpg","vanilla"
"117","Appraisal","Scout","Thief","-1","appraisal.jpg","vanilla"
"118","Dirty Tricks","Scout","Thief","-1","dirtytricks.jpg","vanilla"
"119","Sneaky","Scout","Thief","-1","sneaky.jpg","vanilla"
"120","Caltrops","Scout","Thief","-2","caltrops.jpg","vanilla"
"121","Tumble","Scout","Thief","-2","tumble.jpg","vanilla"
"122","Unseen","Scout","Thief","-2","unseen.jpg","vanilla"
"123","Bushwhack","Scout","Thief","-3","bushwhack.jpg","vanilla"
"124","Luck","Scout","Thief","-3","lurk.jpg","vanilla"
"125","Delver","Scout","Treasure Hunter","0","delver.jpg","Labyrinth of Ruin"
"126","Dungeoneer","Scout","Treasure Hunter","-1","dungeoneer.jpg","Labyrinth of Ruin"
"127","Gold Rush","Scout","Treasure Hunter","-1","goldrush.jpg","Labyrinth of Ruin"
"128","Survey","Scout","Treasure Hunter","-1","survey.jpg","Labyrinth of Ruin"
"129","Guard the Spoils","Scout","Treasure Hunter","-2","guardthespoils.jpg","Labyrinth of Ruin"
"130","Lure of Fortune","Scout","Treasure Hunter","-2","lureoffortune.jpg","Labyrinth of Ruin"
"131","Sleight of Hand","Scout","Treasure Hunter","-2","sleightofhand.jpg","Labyrinth of Ruin"
"132","Finder's Keepers","Scout","Treasure Hunter","-3","finderskeepers.jpg","Labyrinth of Ruin"
"133","Trail of Riches","Scout","Treasure Hunter","-3","trailofriches.jpg","Labyrinth of Ruin"
"134","Wolf","Warrior","Beastmaster","0","wolfbeastmaster.jpg","Labyrinth of Ruin"
"135","Bound by the Hunt","Warrior","Beastmaster","0","boundbythehunt.jpg","Labyrinth of Ruin"
"136","Bestial Rage","Warrior","Beastmaster","-1","bestialrage.jpg","Labyrinth of Ruin"
"137","Stalker","Warrior","Beastmaster","-1","stalker.jpg","Labyrinth of Ruin"
"138","Survivalist","Warrior","Beastmaster","-1","survivalist.jpg","Labyrinth of Ruin"
"139","Feral Frenzy","Warrior","Beastmaster","-2","feralfrenzy.jpg","Labyrinth of Ruin"
"140","Savagery","Warrior","Beastmaster","-2","savagery.jpg","Labyrinth of Ruin"
"141","Shadow Hunter","Warrior","Beastmaster","-2","shadowhunter.jpg","Labyrinth of Ruin"
"142","Changing Skins","Warrior","Beastmaster","-3","changingskins.jpg","Labyrinth of Ruin"
"143","Predator","Warrior","Beastmaster","-3","predator.jpg","Labyrinth of Ruin"
"144","Valor of Heroes","Warrior","Champion","0","valorofheroes.jpg","Lair of the Wyrm"
"145","A Living Legend","Warrior","Champion","-1","alivinglegend.jpg","Lair of the Wyrm"
"146","Glory of Battle","Warrior","Champion","-1","gloryofbattle.jpg","Lair of the Wyrm"
"147","Inspiring Presence","Warrior","Champion","-1","inspiringpresence.jpg","Lair of the Wyrm"
"148","Motivating Charge","Warrior","Champion","-2","motivatingcharge.jpg","Lair of the Wyrm"
"149","No Mercy","Warrior","Champion","-2","nomercy.jpg","Lair of the Wyrm"
"150","Stoic Resolve","Warrior","Champion","-2","stoicresolve.jpg","Lair of the Wyrm"
"151","For the Cause","Warrior","Champion","-3","forthecause.jpg","Lair of the Wyrm"
"152","Valorous Strike","Warrior","Champion","-3","valorousstrike.jpg","Lair of the Wyrm"
"153","Oath of Honor","Warrior","Knight","0","oathofhonor.jpg","vanilla"
"154","Advance","Warrior","Knight","-1","advance.jpg","vanilla"
"155","Challenge","Warrior","Knight","-1","challenge.jpg","vanilla"
"156","Defend","Warrior","Knight","-1","defend.jpg","vanilla"
"157","Defense Training","Warrior","Knight","-2","defensetraining.jpg","vanilla"
"158","Guard","Warrior","Knight","-2","guard.jpg","vanilla"
"159","Shield Slam","Warrior","Knight","-2","shieldslam.jpg","vanilla"
"160","Inspiration","Warrior","Knight","-3","inspiration.jpg","vanilla"
"161","Stalwart","Warrior","Knight","-3","stalwart.jpg","vanilla"
"162","Bloodlust","Overlord","Warlord","-2","bloodlust.jpg","vanilla"
"163","Bloodrage","Overlord","Warlord","-1","bloodrage.jpg","vanilla"
"164","Outbreak","Overlord","Infector","-2","outbreak.jpg","The Trollfens"
"165","Virulent Infection","Overlord","Infector","-1","virulentinfection.jpg","The Trollfens"
"166","Adaptive Contagion","Overlord","Infector","-1","adaptivecontagion.jpg","The Trollfens"
"167","Airborne","Overlord","Infector","-1","airborne.jpg","The Trollfens"
"168","Contamnated","Overlord","Infector","-1","contaminated.jpg","The Trollfens"
"169","Dark Host","Overlord","Infector","-3","darkhost.jpg","The Trollfens"
"170","Tainted Blow","Overlord","Infector","-2","taintedblow.jpg","The Trollfens"
"171","Diabolic Power","Overlord","Magus","-3","diabolicpower.jpg","vanilla"
"172","Rise Again","Overlord","Magus","-2","riseagain.jpg","vanilla"
"173","Unholy Ritual","Overlord","Magus","-1","unholyritual.jpg","vanilla"
"174","Word of Despair","Overlord","Magus","-2","wordofdespair.jpg","vanilla"
"175","Word of Pain","Overlord","Magus","-1","wordofpain.jpg","vanilla"
"176","Toxic Reprisal","Overlord","Overlord Reward","0","toxicreprisal.jpg","The Trollfens"
"177","Secrets of Flesh","Overlord","Overlord Reward","0","secretsofflesh.jpg","The Trollfens"
"178","Offertory Affliction","Overlord","Overlord Reward","0","offertoryaffliction.jpg","The Trollfens"
"179","Trading Pains","Overlord","Punisher","-1","tradingpains.jpg","Lair of the Wyrm"
"180","Blood Bargaining","Overlord","Punisher","-3","bloodbargaining.jpg","Lair of the Wyrm"
"181","Exploit Weakness","Overlord","Punisher","-2","exploitweakness.jpg","Lair of the Wyrm"
"182","No Rest for the Wicked","Overlord","Punisher","-1","norestforthewicked.jpg","Lair of the Wyrm"
"183","Price of Prevention","Overlord","Punisher","-2","priceofprevention.jpg","Lair of the Wyrm"
"184","Splig's Revenge","Overlord","Quest Reward","0","spligsrevenge.jpg","Labyrinth of Ruin"
"185","Twin Souls","Overlord","Quest Reward","0","twinsouls.jpg","Labyrinth of Ruin"
"186","The Wyrm Queen's Favor","Overlord","Rumor Reward","0","thewyrmqueensfavor.jpg","Lair of the Wyrm"
"187","Explosive Runes","Overlord","Saboteur","-1","explosiverunes.jpg","vanilla"
"188","Uthuk Demon Trap","Overlord","Saboteur","-3","uthukdemontrap.jpg","vanilla"
"189","Web Trap","Overlord","Saboteur","-1","webtrap.jpg","vanilla"
"190","Wicked Laughter","Overlord","Saboteur","-2","wickedlaughter.jpg","vanilla"
"191","Curse of the Monkey God","Overlord","Saboteur","-2","curseofthemonkeygod.jpg","vanilla"
"192","Dark Remedy","Overlord","Universal","-1","darkremedy.jpg","Labyrinth of Ruin"
"193","Dark Resilience","Overlord","Universal","-1","darkreslience.jpg","vanilla"
"194","Plan Ahead","Overlord","Universal","-1","planahead.jpg","vanilla"
"195","Schemes","Overlord","Universal","-1","schemes.jpg","vanilla"
"197","Dark Fortitude","Overlord","Warlord","-1","darkfortitude.jpg","vanilla"
"198","Expert Blow","Overlord","Warlord","-2","expertblow.jpg","vanilla"
"199","Reinforce","Overlord","Warlord","-3","reinforce.jpg","vanilla"
